datetime,platform,username,candidate_name,text,comment_count,view_count,like_count,url,num_interaction
2024-01-02 15:37:58,instagram,xevt,Xóchitl Gálvez,"#ÚltimoMinuto🔴 ""Te mintieron"", publica #XochitlGalvez al referirse al tema de la gasolina: ""Te prometieron el litro de gasolina a 10, lo recibieron en poco menos de 20 y hoy lo venden ya casi llegando a 30 pesos""",0,0,0,https://www.instagram.com/p/C1mmnoeugpT/,166
2024-01-02 17:58:39,instagram,Jesus Sanchez,Xóchitl Gálvez,Carta de @xochitlgalvez al presidente @lopezobrador,0,0,0,https://www.instagram.com/p/C1m2uJCO7WZ/,1
2024-01-02 18:23:19,instagram,Felipe Motta Wine Store & Deli,Jorge Álvarez Máynez,"#LoNuevo en Felipe Motta: Diablo Purple Malbec. 🍷🍇
Este #Malbec cautiva por su color rojo púrpura profundo, encanta por sus agradables toques de mora, guinda negra y chocolate. Su expresión en boca es una mezcla de sabores, potencia e intensidad única. Proviene del Valle del Maule - Chile, lugar de extraordinarias condiciones para el desarrollo de esta variedad.

A nivel de maridaje, #DiabloPurple Malbec es muy versátil, siendo perfecto para acompañar diferentes cortes de carnes rojas, idealmente grasas, además de carnes blancas. Quesos y charcutería son un aliado perfecto para este vino.

🟣 Déjate seducir por la magia del nuevo Diablo Purple Malbec.

#DiabloWine #DiabloPurpleMalbec #FelipeMotta #Vinos",0,0,0,https://www.instagram.com/p/C1m5iyrgQWi/,42
2024-01-02 18:52:11,instagram,Maryjose Gamboa,Xóchitl Gálvez,"Carta de @xochitlgalvez para @lopezobrador

Veracruz merece más, México merece más. Tú #MerecesMás",0,0,0,https://www.instagram.com/p/C1m82I5Nq4w/,62
2024-01-02 18:53:12,instagram,Flatiron Books,Xóchitl Gálvez,"Kicking off 2024 with a giveaway! 🤩 
1985. Anita de Monte, a rising star in the art world, is found dead in New York City. 🎨
Head over to the link in our bio to enter for a chance to win the new novel from New York Times bestselling author of Olga Dies Dreaming, @xochitltheg. 🎨❤️
#anitademontelaughslast #olgadiesdreaming #xochitlgonzalez",0,0,0,https://www.instagram.com/p/C1m89qkPqKs/,502
2024-01-02 19:08:45,instagram,Tu Compa el Albañil 👷🏻‍♂️,Claudia Sheinbaum,Igualitas…,0,0,0,https://www.instagram.com/p/C1m-vgrPqBb/,486
2024-01-02 19:39:50,instagram,La Octava,Xóchitl Gálvez,"Xóchitl Gálvez contesta a AMLO: Que tome su responsabilidad con seriedad

La precandidata de oposición reaccionó a los dichos del presidente, quien declaró que “quieren que calle como momia”. El lunes @xochitlgalvez escribió una carta para decirle a AMLO “que no se riera”.

#amlo #xochitlgalvez #news #laoctava",0,0,0,https://www.instagram.com/p/C1nCTKfOYp5/,321
2024-01-02 19:57:48,instagram,pejelanndia,Claudia Sheinbaum,"Según el gobierno el aumento al salario mínimo durante este sexenio  fue de 113% ; pero el kilo de frijol aumentó más de 160%

 #FelizFinDeAMLO #AcapulcoEsUnGuerrero #Oaxaca #Huehuetoca #LaNaturalezaNoPerdonaNunca #fideicomisos #caprichospendejos #AndresManuelElFraude #SantaLucía #Presupuesto #Otis #Segalmex #SeñoraX #NiUnVotoAMORENA2024 #Villahermosa #desaparecidos #Ecocidio #Sheinbaum #Jalisco #DosBocas #Tabasco #fuertecomotú #FONDEN",0,0,0,https://www.instagram.com/p/C1nEWwoOmDr/,1
2024-01-02 20:06:20,instagram,Política En Corto ⚡️,Claudia Sheinbaum,"📚⚡ 2023 fue un año lleno de cambios políticos en México, América Latina y todo el mundo. Con el ritmo acelerado en el que suceden las cosas, podemos caer en el supuesto de saberlo todo solo por estar enterados de las noticias. Por eso, te compartimos 8 libros que cambiaron nuestra forma de ver la política en 2023, y que nos dieron una bocanada de aire puro entre los mil y un cambios que nos lanzó el 2023. 📚⚡

#libros #booktok #periodismo #recomendación #opinión #2023 #2024 #elecciones #democracia #elections #feminismo #migración #ONU #morena #AMLO #Sheinbaum #INE #vivienda #derechos #ciudad #economía #política #políticapública #abogada #abogado #leyes #rrii #ambientalismo",0,0,0,https://www.instagram.com/p/C1nFVNQuLWU/,966
2024-01-02 20:34:49,instagram,pejelanndia,Claudia Sheinbaum,"“México llega al 2024 intimidado, ésa ha sido la estrategia, intimidar a periodistas, medios, empresarios, universidades, a todos. Esa intimidación sólo podrá ser compensada con una marejada ciudadana de indignación. Lo que dicen es falso. Ni el insostenible AIFA, ni los pedazos del tren destructor, ni la refinería, han mejorado a México. El combustóleo nos enferma. Pemex es campeón mundial en pérdidas, falsedades sin fin. La sacudida es un acto de voluntad individual y colectiva. Actuemos.” Federico Reyes Heroles

 #AndresManuelElFraude #Jalisco #AcapulcoEsUnGuerrero #Presupuesto #desaparecidos #Segalmex #DosBocas #Ecocidio #fideicomisos #Otis #SantaLucía #Oaxaca #SeñoraX #FelizFinDeAMLO #Villahermosa #LaNaturalezaNoPerdonaNunca #Sheinbaum #NiUnVotoAMORENA2024 #caprichospendejos #Huehuetoca #Tabasco #fuertecomotú",0,0,0,https://www.instagram.com/p/C1nIl3FuzRJ/,5
